Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Pakistan,PAK,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,United States,USA,..,..,..,..,..,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Argentina,ARG,99,99,99,99,99,99,99,99,99,99,96,92,95,93,93,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Bangladesh,BGD,97,97,98,99,99,98,99,98,99,99,99,99,99,99,99,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Brazil,BRA,99,99,99,99,99,99,99,99,99,99,99,90,91,92,79,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Colombia,COL,94,96,93,93,90,84,83,89,85,89,90,88,91,89,89,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,India,IND,86,86,87,86,88,89,90,90,91,89,87,89,92,92,92,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Mexico,MEX,99,99,99,99,99,98,99,99,91,96,98,99,94,96,76,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Pakistan,PAK,78,77,77,75,74,74,83,84,84,85,86,86,86,87,88,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Argentina,ARG,98,91,91,93,94,94,91,91,94,94,94,92,86,86,86,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Bangladesh,BGD,93,94,94,96,97,94,96,94,96,97,98,98,98,98,98,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Brazil,BRA,99,99,99,99,99,99,99,95,97,93,96,89,89,87,73,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Canada,CAN,93,95,94,92,91,89,87,91,91,91,91,91,91,91,91,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Colombia,COL,93,93,93,92,92,88,85,91,91,90,91,91,92,92,92,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,India,IND,65,65,64,70,74,79,82,82,83,85,87,88,89,90,91,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,93,85,88,82,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Pakistan,PAK,63,59,54,53,52,52,63,64,65,69,72,75,75,75,75,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,United States,USA,96,96,96,96,95,95,96,94,94,95,95,95,95,94,94,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Argentina,ARG,88,84,85,90,94,94,91,91,94,94,94,92,86,86,86,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Bangladesh,BGD,45,86,95,96,97,94,96,94,96,97,98,98,98,98,98,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Brazil,BRA,98,99,99,96,99,96,98,96,96,96,96,89,93,93,80,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Canada,CAN,14,14,14,28,42,56,70,70,55,55,69,70,71,71,74,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Colombia,COL,93,93,93,92,92,88,85,92,91,90,91,91,92,92,92,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,India,IND,8,6,6,29,37,38,44,73,70,79,87,88,89,90,91,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Mexico,MEX,98,98,98,97,95,93,98,99,82,84,82,93,58,55,56,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Pakistan,PAK,65,60,54,53,52,52,63,64,65,69,72,75,75,75,75,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,United States,USA,93,93,93,94,92,92,91,90,91,92,92,93,93,91,91,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Argentina,ARG,95,92,92,94,97,95,93,90,90,92,93,87,84,84,84,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Bangladesh,BGD,94,95,96,96,97,94,96,94,96,97,98,98,98,98,98,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Brazil,BRA,99,99,99,99,99,99,98,96,96,96,98,72,75,85,85,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Canada,CAN,93,95,99,96,93,90,87,91,91,91,91,91,91,91,91,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Colombia,COL,93,94,93,92,92,88,85,91,91,90,91,91,92,92,92,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,India,IND,65,66,67,69,73,76,79,79,82,84,86,86,89,90,90,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,96,85,88,82,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Pakistan,PAK,63,58,54,53,52,52,63,64,65,69,72,75,75,75,75,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,United States,USA,92,93,93,94,93,93,94,93,93,93,93,94,94,93,93,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Argentina,ARG,98,97,94,96,96,95,95,94,94,95,89,90,89,94,94,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Bangladesh,BGD,88,83,89,92,93,88,93,88,91,94,97,97,97,97,97,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Brazil,BRA,98,99,99,99,99,99,99,99,98,97,96,95,91,92,91,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Canada,CAN,94,93,94,93,91,90,88,89,90,90,89,89,90,90,90,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Colombia,COL,96,95,93,95,89,88,88,94,92,91,94,93,93,95,95,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,India,IND,68,69,70,72,78,82,84,83,83,85,87,88,90,93,95,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Mexico,MEX,96,96,96,96,96,95,98,99,89,97,97,96,76,97,73,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Pakistan,PAK,61,59,57,56,56,57,59,63,68,71,75,75,76,73,75,..
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,United States,USA,92,92,92,92,90,92,92,91,92,92,92,92,92,92,90,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Argentina,ARG,88,91,84,88,96,94,91,89,83,96,87,88,89,99,89,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Bangladesh,BGD,..,..,..,..,..,..,..,41,82,89,90,92,93,93,95,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Brazil,BRA,61,55,49,56,55,53,71,70,69,89,80,77,76,76,54,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Canada,CAN,..,..,..,..,..,..,..,83,86,86,86,86,87,87,87,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Colombia,COL,73,85,93,70,71,74,76,80,72,88,86,87,89,88,88,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,India,IND,..,..,..,..,..,..,27,36,51,60,69,76,80,82,84,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Mexico,MEX,97,91,85,94,92,91,97,92,76,95,96,98,62,99,73,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,Pakistan,PAK,..,..,..,..,30,34,38,42,43,48,54,67,67,67,71,..
"Immunization, measles second dose (% of children by the nationally recommended age)",SH.IMM.MEA2,United States,USA,86,86,86,87,88,89,90,91,91,92,93,94,94,94,95,..
Number of stillbirths,SH.DTH.STLB,Argentina,ARG,4279,4151,4070,3983,3894,3624,3660,3831,3915,3939,3871,3956,3978,4042,4042,..
Number of stillbirths,SH.DTH.STLB,Bangladesh,BGD,122962,117169,111577,106072,100388,95370,91585,88795,87221,85672,82980,80551,78097,75365,72508,..
Number of stillbirths,SH.DTH.STLB,Brazil,BRA,28915,27918,27103,26475,26053,25632,25359,25169,24962,24787,24389,24467,23051,22369,21771,..
Number of stillbirths,SH.DTH.STLB,Canada,CAN,1037,1083,1129,1138,1126,1114,1116,1110,1107,1114,1097,1087,1089,1083,1072,..
Number of stillbirths,SH.DTH.STLB,Colombia,COL,7390,7163,6951,6784,6584,6455,6276,6130,5995,5849,5718,5601,5486,5368,5237,..
Number of stillbirths,SH.DTH.STLB,India,IND,734078,699284,659445,617056,574990,535683,504042,482850,463107,445156,421034,396509,373106,354026,340622,..
Number of stillbirths,SH.DTH.STLB,Mexico,MEX,18512,18000,17560,17321,17106,16826,16514,16133,15793,15485,15333,15271,15287,15296,15136,..
Number of stillbirths,SH.DTH.STLB,Pakistan,PAK,204631,204854,205464,206083,206320,204648,202505,200818,200410,199859,197845,197426,196154,193816,190483,..
Number of stillbirths,SH.DTH.STLB,United States,USA,12382,12336,12454,12805,12247,12147,11987,11883,11799,11795,11810,11849,11861,11855,11844,..
Number of infant deaths,SH.DTH.IMRT,Argentina,ARG,10716,10454,10242,10043,9821,9554,9228,8861,8479,8102,7719,7322,6915,6503,6095,5719
Number of infant deaths,SH.DTH.IMRT,Bangladesh,BGD,164247,154428,145123,136430,128488,121238,114654,108655,103023,97777,92739,87900,83233,78659,74306,70272
Number of infant deaths,SH.DTH.IMRT,Brazil,BRA,71001,65431,60568,56392,52929,50020,47673,45811,44313,43119,42104,44108,40403,39558,38646,37657
Number of infant deaths,SH.DTH.IMRT,Canada,CAN,1800,1825,1845,1860,1869,1871,1866,1855,1839,1820,1799,1777,1757,1736,1715,1692
Number of infant deaths,SH.DTH.IMRT,Colombia,COL,15136,14425,13734,13083,12494,11950,11460,11019,10612,10239,9896,9575,9251,8925,8592,8268
Number of infant deaths,SH.DTH.IMRT,India,IND,1528934,1463875,1395098,1323292,1248851,1173533,1100313,1029855,964793,905320,851108,802055,757238,716249,680527,647688
Number of infant deaths,SH.DTH.IMRT,Mexico,MEX,44987,43211,41560,40080,38731,37469,36250,35073,33910,32728,31538,30368,29178,28010,26892,25833
Number of infant deaths,SH.DTH.IMRT,Pakistan,PAK,384015,381280,378820,376599,374353,371903,369184,366119,362935,359330,355133,350501,345261,339097,331941,323919
Number of infant deaths,SH.DTH.IMRT,United States,USA,27762,27585,27261,26788,26200,25530,24844,24184,23594,23089,22671,22334,22068,21847,21652,21451
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Bangladesh,BGD,..,..,..,..,..,..,161,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,13940,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Colombia,COL,..,..,..,..,..,..,..,..,..,..,27385,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,1303,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Pakistan,PAK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Argentina,ARG,4,..,..,..,..,4.5,4.39,4.59,4.78,4.84,4.96,4.95,4.99,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Bangladesh,BGD,0.3,..,..,..,..,..,0.6,..,..,0.6,0.77,0.79,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Brazil,BRA,2.52,2.48,2.47,2.44,2.43,2.37,2.31,2.27,2.25,2.22,2.15,2.11,2.09,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Canada,CAN,3.1,3.02,2.96,2.85,2.8,2.78,2.8,2.79,2.72,2.67,2.62,2.6,2.53,2.55,2.52,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Colombia,COL,..,1,1,..,..,1.48,1.45,1.48,1.54,1.59,1.61,1.68,1.7,1.71,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,India,IND,0.41,0.42,0.41,0.41,0.44,0.47,0.63,0.49,0.49,0.52,0.58,0.48,0.53,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Mexico,MEX,1.05,1.02,1.06,1.03,1.02,1.05,1.04,1.03,1.03,1.03,1,1,0.99,0.98,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Pakistan,PAK,0.7,1.25,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.63,0.63,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,United States,USA,3.2,3.18,3.14,3.13,3.08,3.05,2.97,2.93,2.89,2.83,2.8,2.77,2.87,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,2.5821,2.5996,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Bangladesh,BGD,0.2839,0.2841,0.1625,0.1623,0.1714,0.183,0.1932,0.2067,0.21,0.256,0.275,0.2639,0.3163,0.4123,0.3916,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Brazil,BRA,..,..,..,..,..,..,..,..,7.5635,8.788,9.1081,9.351,9.737,10.119,7.4008,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Canada,CAN,9.9467,10.0236,10.1208,10.289,10.3743,9.3233,9.2368,9.3473,9.4788,9.7475,9.8188,9.9194,9.9491,9.9874,11.812,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,India,IND,1.2907,..,..,..,..,..,..,..,..,..,..,..,2.1079,1.7271,2.3885,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Mexico,MEX,2.2053,2.2215,2.2832,2.3066,2.3624,2.4118,2.5093,2.5488,2.8044,2.6798,2.4177,2.5103,2.5078,3.149,2.3646,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,Pakistan,PAK,..,..,..,0.5297,0.5443,0.5595,..,..,0.5279,..,..,..,0.5986,..,0.4832,..
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,United States,USA,9.9177,..,..,..,..,12.5927,..,..,..,..,..,..,14.5812,15.685,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,3.9385,..,3.99,4.0013,3.9901,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Bangladesh,BGD,0.3084,0.3167,0.3293,0.342,0.3544,0.3635,0.3839,0.4001,0.4218,0.4887,0.4858,0.4974,0.5433,0.5809,0.6367,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Brazil,BRA,1.6663,1.7007,1.7306,1.7802,1.8171,1.8139,1.8491,..,1.882,..,..,..,2.1652,..,2.3106,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Canada,CAN,..,1.9086,..,1.959,..,2.0384,..,2.3962,2.4509,2.4961,2.5388,2.3105,2.6102,2.4251,2.4425,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Colombia,COL,1.4146,1.4521,1.494,1.545,1.5999,1.6493,3.0548,3.1599,3.2782,3.4065,3.4971,3.5929,3.7157,3.8441,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,India,IND,0.5885,0.6012,0.6182,0.6342,0.6518,0.6858,0.7376,0.6982,0.717,0.7247,0.7329,0.759,0.7779,0.6857,0.9281,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Mexico,MEX,3.5303,3.762,3.843,3.8988,3.9581,3.9972,4.2008,4.2236,4.311,4.4526,4.6493,4.6488,4.7654,4.8496,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Pakistan,PAK,0.7882,..,0.7619,0.7806,0.7951,0.8076,0.8311,0.859,0.8771,0.8972,0.9262,0.962,1.0005,0.9801,1.1179,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,2.6036,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Argentina,ARG,3.9133997,4.01898909,4.25491619,4.50853157,5.66982412,5.56834602,5.68118334,6.13486385,6.22041893,6.32730198,6.8243742,5.59118652,6.59935617,5.93580294,5.93055725,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bangladesh,BGD,0.53574222,0.57358515,0.58525318,0.53093374,0.52133471,0.5637666,0.57771218,0.56256449,0.52373934,0.50554109,0.46535748,0.40610689,0.40603626,0.42589214,0.46258456,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Brazil,BRA,3.34525847,3.54130602,3.48463106,3.50442195,3.70741892,3.57701063,3.46568108,3.35463285,3.55113888,3.69886541,3.85384679,3.94843602,3.95314622,3.88923883,3.90755868,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Canada,CAN,6.59905815,6.4866991,6.57271051,6.70117044,7.52118206,7.47694063,7.30276871,7.4011817,7.3582077,7.23180246,7.58065939,7.67784119,7.56277943,7.58277988,7.60929585,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Colombia,COL,4.35741186,4.56695986,4.58606243,4.74562693,5.2679739,5.10725737,4.98383522,4.71287298,4.90206432,5.05892658,5.32889223,5.29663372,5.4549818,5.46089888,5.54188728,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,India,IND,0.76303685,0.7453534,0.73512703,0.79527897,0.89261264,0.85750186,0.93731916,0.93186861,0.86504191,0.85653549,0.92193186,0.94049966,0.96734679,0.8878178,0.9882924,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Mexico,MEX,2.46497631,2.4219811,2.52675962,2.61655498,2.86067677,2.8809936,2.91415977,3.00721955,3.12253189,2.89231014,2.98734331,2.84779787,2.75801349,2.6718502,2.67891455,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Pakistan,PAK,0.59058839,0.48937705,0.66952825,0.56152743,0.56858444,0.57170916,0.6115551,0.67824304,0.70266861,0.698412,0.74002051,0.8632797,0.91669148,1.14399576,1.08106327,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,United States,USA,6.62940884,6.80890989,6.9233551,7.25172758,7.87523222,7.94476509,7.92789316,7.90049934,7.94619036,8.23888111,8.45250511,8.55732727,8.51218987,8.47234249,8.52492332,..
