Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Argentina,ARG,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Bangladesh,BGD,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Brazil,BRA,82.834,83.143,83.448,83.749,84.044,84.335,84.631,84.923,85.209,85.492,85.77,86.042,86.309,86.569,86.824,87.073
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Canada,CAN,80.122,80.213,80.396,80.578,80.758,80.937,81.096,81.137,81.178,81.218,81.259,81.3,81.35,81.411,81.482,81.562
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Colombia,COL,76.024,76.423,76.816,77.204,77.587,77.964,78.335,78.701,79.061,79.415,79.764,80.108,80.446,80.778,81.104,81.425
Urban population (% of total population),SP.URB.TOTL.IN.ZS,India,IND,29.235,29.569,29.906,30.246,30.587,30.93,31.276,31.634,32.003,32.384,32.777,33.182,33.6,34.03,34.472,34.926
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Mexico,MEX,76.308,76.616,76.92,77.222,77.52,77.815,78.111,78.405,78.699,78.993,79.285,79.577,79.867,80.156,80.444,80.731
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Pakistan,PAK,33.982,34.184,34.387,34.59,34.793,34.997,35.202,35.408,35.613,35.819,36.026,36.234,36.442,36.666,36.907,37.165
Urban population (% of total population),SP.URB.TOTL.IN.ZS,United States,USA,79.928,80.099,80.269,80.438,80.606,80.772,80.944,81.119,81.299,81.483,81.671,81.862,82.058,82.256,82.459,82.664
Urban population growth (annual %),SP.URB.GROW,Argentina,ARG,1.22638308678468,1.20299247011043,1.18275022667788,1.17389103087434,1.1772245502055,0.926286488598646,1.30814131603172,1.28077370283392,1.25948243003778,1.2396386789085,1.21579706300955,1.19260291906809,1.17019595911431,1.14760215897919,1.12501972603644,1.10041505272326
Urban population growth (annual %),SP.URB.GROW,Bangladesh,BGD,4.11135670857974,3.95375426974228,3.8095488240978,3.70150613260051,3.64263195382955,3.62780430377557,3.61773444758679,3.5838132582531,3.53116881944793,3.47496659160657,3.39798061026891,3.32910045953364,3.26053573537605,3.18911971165231,3.11741679356148,3.04566007142533
Urban population growth (annual %),SP.URB.GROW,Brazil,BRA,1.5244645710207,1.46253332118772,1.40403168822088,1.3543651865177,1.31357056360001,1.28360875894277,1.26633162387043,1.2379590138736,1.20981527868807,1.18737043423465,1.16348820828163,1.14037759212483,1.11697812273061,1.08463485344243,1.04568016584537,0.999249503269173
Urban population growth (annual %),SP.URB.GROW,Canada,CAN,1.04061858829188,1.12384675481251,1.19901884209158,1.30902990520455,1.36489394771959,1.33326871439499,1.17495264216968,1.13636233305053,1.1071099946107,1.05460141956621,0.796807975480466,1.18279215486163,1.26116200732881,1.48750598693977,1.50218820550071,1.18772430444538
Urban population growth (annual %),SP.URB.GROW,Colombia,COL,1.88259524436733,1.81219110019529,1.7474014871928,1.67999307318997,1.60735192801903,1.53538039907775,1.4430975687191,1.36647015254699,1.36330613922269,1.45724639899263,1.60894566343541,1.79799326101377,1.9347911041769,1.93608660289417,1.75955099995645,1.46877335365461
Urban population growth (annual %),SP.URB.GROW,India,IND,2.72183174211269,2.68168577159924,2.64248337803077,2.59537148470971,2.53169655052216,2.46548884731456,2.40095729462256,2.36963095342624,2.34261983514164,2.32915608060408,2.32315357822471,2.31851026568661,2.31521013771488,2.30946996598269,2.30375244091858,2.29782759107855
Urban population growth (annual %),SP.URB.GROW,Mexico,MEX,1.82420878524429,1.8590281344028,1.88206292256786,1.88721556631294,1.86191341992348,1.81796631467998,1.7744572453399,1.73097530755872,1.68983234295214,1.65056526440047,1.61013604556509,1.5708748882209,1.52773148162835,1.48761300066204,1.45002297233125,1.4143747761486
Urban population growth (annual %),SP.URB.GROW,Pakistan,PAK,2.88966738902095,2.88590365371211,2.87376075948203,2.85165518863777,2.81849361978838,2.78164748784569,2.74285267681366,2.70971100933162,2.68053920361254,2.66923048606493,2.66479417191666,2.66202738753606,2.64998279797427,2.67034000931371,2.67810181020819,2.67494154391561
Urban population growth (annual %),SP.URB.GROW,United States,USA,1.13588459113456,1.17796815968651,1.16306776101756,1.15618567133535,1.08529029428822,1.03534480069191,0.93950541093758,0.94956550837067,0.914510413562637,0.95943078191871,0.966674782180289,0.958268060593122,0.871785260117191,0.767437430461766,0.701867775195684,0.599210762260319
Rural population,SP.RUR.TOTL,Argentina,ARG,3877236,3850408,3823186,3795591,3768543,3732551,3717660,3705497,3693179,3679391,3664923,3649822,3634137,3617403,3599141,3579773
Rural population,SP.RUR.TOTL,Bangladesh,BGD,101761476,102143880,102377369,102502134,102571998,102621005,102662598,102694469,102713719,102699980,102647880,102554027,102425423,102261195,102058752,101815917
Rural population,SP.RUR.TOTL,Brazil,BRA,31950579,31719371,31470391,31206854,30936531,30658541,30356010,30046545,29735221,29416964,29096331,28776239,28454529,28133824,27807885,27477555
Rural population,SP.RUR.TOTL,Canada,CAN,6409413,6444858,6447564,6457255,6470872,6482352,6491507,6548144,6603314,6655859,6691082,6752474,6815698,6890046,6961543,7007406
Rural population,SP.RUR.TOTL,Colombia,COL,10225220,10185476,10140105,10088363,10029830,9965274,9892834,9813668,9735691,9668302,9616282,9582981,9563831,9545848,9512141,9451496
Rural population,SP.RUR.TOTL,India,IND,812106163,820863650,829358847,837515186,845260299,852517999,859247883,865363321,870934216,876033415,880723742,885015936,888881381,892338114,895386227,898024053
Rural population,SP.RUR.TOTL,Mexico,MEX,25114752,25151867,25196552,25241503,25281882,25311523,25324581,25325354,25311373,25283004,25242937,25188376,25121419,25041299,24948670,24844052
Rural population,SP.RUR.TOTL,Pakistan,PAK,105829499,107953132,110103933,112275600,114454985,116631401,118800762,120967978,123147091,125348710,127581399,129847570,132141029,134412664,136637555,138797696
Rural population,SP.RUR.TOTL,United States,USA,59316092,59380586,59435929,59486862,59495270,59477423,59375348,59263241,59106371,58955597,58788250,58598755,58333412,57994170,57592357,57119368
Rural population (% of total population),SP.RUR.TOTL.ZS,Argentina,ARG,9.96899999999999,9.8,9.634,9.47,9.309,9.151,9.01000000000001,8.879,8.751,8.623,8.497,8.373,8.251,8.13,8.009,7.889
Rural population (% of total population),SP.RUR.TOTL.ZS,Bangladesh,BGD,73.191,72.483,71.763,71.032,70.291,69.538,68.775,68.007,67.238,66.465,65.692,64.917,64.142,63.368,62.595,61.823
Rural population (% of total population),SP.RUR.TOTL.ZS,Brazil,BRA,17.166,16.857,16.552,16.251,15.956,15.665,15.369,15.077,14.791,14.508,14.23,13.958,13.691,13.431,13.176,12.927
Rural population (% of total population),SP.RUR.TOTL.ZS,Canada,CAN,19.878,19.787,19.604,19.422,19.242,19.063,18.904,18.863,18.822,18.782,18.741,18.7,18.65,18.589,18.518,18.438
Rural population (% of total population),SP.RUR.TOTL.ZS,Colombia,COL,23.976,23.577,23.184,22.796,22.413,22.036,21.665,21.299,20.939,20.585,20.236,19.892,19.554,19.222,18.896,18.575
Rural population (% of total population),SP.RUR.TOTL.ZS,India,IND,70.765,70.431,70.094,69.754,69.413,69.07,68.724,68.366,67.997,67.616,67.223,66.818,66.4,65.97,65.528,65.074
Rural population (% of total population),SP.RUR.TOTL.ZS,Mexico,MEX,23.692,23.384,23.08,22.778,22.48,22.185,21.889,21.595,21.301,21.007,20.715,20.423,20.133,19.844,19.556,19.269
Rural population (% of total population),SP.RUR.TOTL.ZS,Pakistan,PAK,66.018,65.816,65.613,65.41,65.207,65.003,64.798,64.592,64.387,64.181,63.974,63.766,63.558,63.334,63.093,62.835
Rural population (% of total population),SP.RUR.TOTL.ZS,United States,USA,20.072,19.901,19.731,19.562,19.394,19.228,19.056,18.881,18.701,18.517,18.329,18.138,17.942,17.744,17.541,17.336
Rural population growth (annual %),SP.RUR.TOTL.ZG,Argentina,ARG,-0.664499364401251,-0.69434119334613,-0.709501028965398,-0.72439764731213,-0.715167533627052,-0.959654050967754,-0.399747599889796,-0.327704530158683,-0.332978802729149,-0.374035541874903,-0.393992378745193,-0.412892628615815,-0.43067305139086,-0.461530370218559,-0.506115918707072,-0.539581529777376
Rural population growth (annual %),SP.RUR.TOTL.ZG,Bangladesh,BGD,0.539656217107946,0.375080337096801,0.228327474606987,0.121793555329638,0.068135363559973,0.0477667368919127,0.0405224771597168,0.0310395943236583,0.0187431671967787,-0.0133769072728521,-0.0507431644215006,-0.0914738151475979,-0.125479912131817,-0.160467779325435,-0.198162802231863,-0.238219996657073
Rural population growth (annual %),SP.RUR.TOTL.ZG,Brazil,BRA,-0.661062614587972,-0.726273591543747,-0.788043127920014,-0.840938535382042,-0.870003155034242,-0.902643274670361,-0.991676491378618,-1.02468416362962,-1.04154438797288,-1.07607207068139,-1.09594309887831,-1.10620718629365,-1.12426724243651,-1.13347859268477,-1.16529399661524,-1.19501239772363
Rural population growth (annual %),SP.RUR.TOTL.ZG,Canada,CAN,0.557844254173616,0.551491248878675,0.0419781487099549,0.150191983656897,0.210657043137183,0.177253215195272,0.141129967876975,0.868694356405575,0.838999350897815,0.792587517646634,0.527807559356073,0.913336125759693,0.931952478221833,1.08492803121353,1.0323383832027,0.656644458992974
Rural population growth (annual %),SP.RUR.TOTL.ZG,Colombia,COL,-0.32120770443209,-0.389443360792884,-0.446443084288362,-0.511577177722625,-0.581892868412038,-0.645720315409095,-0.729579286435454,-0.803454878728542,-0.797749057039641,-0.694591787741767,-0.539499593814073,-0.346899080397621,-0.2000333672829,-0.188208345188201,-0.353731289768236,-0.639594680486119
Rural population growth (annual %),SP.RUR.TOTL.ZG,India,IND,1.11164776693103,1.07259434797976,1.02959110790375,0.978646728686219,0.920523000240269,0.854969605672736,0.786312981908638,0.709199107347279,0.641700399588297,0.583778816634467,0.533976836350169,0.486164807590946,0.435814528961238,0.388131541253613,0.341005140874281,0.294168928507531
Rural population growth (annual %),SP.RUR.TOTL.ZG,Mexico,MEX,0.11167801180592,0.147672580663442,0.17750313761612,0.17824244769517,0.159842847415204,0.117173388078255,0.0515758490797851,0.00305232375938382,-0.0552207900612247,-0.112142908580838,-0.158599751358101,-0.216377556093139,-0.266178940038251,-0.319440697492789,-0.370590771968483,-0.42021464078884
Rural population growth (annual %),SP.RUR.TOTL.ZG,Pakistan,PAK,1.99242178016137,1.98678708850221,1.97275951893816,1.95317978194375,1.92250386071876,1.88369413894623,1.84292780718397,1.80780448946846,1.78536367438045,1.77200306787877,1.7655051055622,1.76066396107088,1.75085297338228,1.70448960736984,1.64171863042852,1.56856123664991
Rural population growth (annual %),SP.RUR.TOTL.ZG,United States,USA,0.0733898148736528,0.108670280303657,0.0931570901609545,0.0856572616332229,0.0141332145804876,-0.0300018427486857,-0.17176717755585,-0.188989154899031,-0.265051290084759,-0.255415159548918,-0.284256234098651,-0.322855438046257,-0.453841679756109,-0.58325455730801,-0.695262032744607,-0.824661438105005
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,76.667,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,67.773,68.213,68.648,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,72.591,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,71.896,72.26,72.618,72.966,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,75.881,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,80.1926829268293,80.3439024390244,80.5439024390244,80.6951219512195,80.9951219512195,81.2463414634146,81.4487804878049,81.6487804878049,81.7487804878049,81.8,81.9,81.9,81.9,82.0487804878049,82.0487804878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,74.265,74.5,74.732,74.962,75.193,75.424,75.655,75.882,76.105,76.322,76.531,76.732,76.925,77.109,77.287,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,64.5,64.918,65.35,65.794,66.244,66.693,67.13,67.545,67.931,68.286,68.607,68.897,69.165,69.416,69.656,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,75.3,75.296,75.255,75.194,75.128,75.065,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,75.054,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,63.951,64.176,64.42,64.685,64.969,65.264,65.562,65.849,66.117,66.36,66.577,66.77,66.947,67.114,67.273,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,77.4878048780488,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Argentina,ARG,71.008,71.179,71.347,71.513,71.676,71.837,71.995,72.151,72.306,72.46,72.614,72.768,72.924,73.082,73.242,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Bangladesh,BGD,66.949,67.318,67.679,68.031,68.37,68.694,68.996,69.273,69.526,69.759,69.978,70.192,70.409,70.637,70.877,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Brazil,BRA,68.166,68.536,68.905,69.266,69.616,69.95,70.265,70.56,70.838,71.099,71.345,71.578,71.804,72.024,72.243,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Canada,CAN,77.9,78.1,78.3,78.5,78.8,79.1,79.4,79.6,79.7,79.8,79.9,79.9,79.9,80,80,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Colombia,COL,71.085,71.354,71.621,71.887,72.154,72.422,72.689,72.95,73.205,73.45,73.686,73.91,74.124,74.33,74.528,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,India,IND,63.689,64.091,64.499,64.91,65.32,65.723,66.115,66.488,66.84,67.167,67.468,67.745,68,68.239,68.464,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Mexico,MEX,72.575,72.532,72.447,72.342,72.233,72.135,72.056,71.997,71.958,71.943,71.954,71.99,72.046,72.118,72.203,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,Pakistan,PAK,63.102,63.317,63.552,63.809,64.086,64.377,64.672,64.959,65.226,65.468,65.684,65.872,66.041,66.194,66.337,..
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,United States,USA,75,75.2,75.5,75.6,76,76.2,76.3,76.4,76.4,76.5,76.3,76.1,76.1,76.2,76.3,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Argentina,ARG,77.831,77.996,78.16,78.323,78.485,78.646,78.806,78.966,79.124,79.281,79.434,79.583,79.726,79.863,79.995,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Bangladesh,BGD,68.715,69.24,69.761,70.272,70.773,71.257,71.721,72.159,72.571,72.955,73.316,73.655,73.978,74.291,74.595,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Brazil,BRA,75.775,76.122,76.457,76.779,77.085,77.378,77.658,77.929,78.193,78.45,78.698,78.934,79.156,79.362,79.555,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Canada,CAN,82.6,82.7,82.9,83,83.3,83.5,83.6,83.8,83.9,83.9,84,84,84,84.2,84.2,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Colombia,COL,77.43,77.63,77.825,78.019,78.212,78.405,78.598,78.789,78.978,79.164,79.346,79.523,79.694,79.859,80.019,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,India,IND,65.357,65.793,66.253,66.735,67.231,67.73,68.218,68.68,69.106,69.491,69.835,70.142,70.425,70.692,70.95,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Mexico,MEX,77.999,78.035,78.039,78.026,78.004,77.979,77.952,77.922,77.89,77.86,77.837,77.826,77.827,77.844,77.879,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,Pakistan,PAK,64.89,65.124,65.374,65.644,65.931,66.228,66.526,66.813,67.08,67.323,67.543,67.742,67.928,68.109,68.287,..
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,United States,USA,80.1,80.3,80.6,80.6,80.9,81,81.1,81.2,81.2,81.3,81.2,81.1,81.1,81.2,81.4,..
Net migration,SM.POP.NETM,Argentina,ARG,..,..,-120000,..,..,..,..,30000,..,..,..,..,24000,..,..,..
Net migration,SM.POP.NETM,Bangladesh,BGD,..,..,-3254778,..,..,..,..,-2306839,..,..,..,..,-1847503,..,..,..
Net migration,SM.POP.NETM,Brazil,BRA,..,..,0,..,..,..,..,15924,..,..,..,..,106000,..,..,..
Net migration,SM.POP.NETM,Canada,CAN,..,..,1326431,..,..,..,..,1241416,..,..,..,..,1210159,..,..,..
Net migration,SM.POP.NETM,Colombia,COL,..,..,-195000,..,..,..,..,-193380,..,..,..,..,1023981,..,..,..
Net migration,SM.POP.NETM,India,IND,..,..,-2655844,..,..,..,..,-2350075,..,..,..,..,-2663434,..,..,..
Net migration,SM.POP.NETM,Mexico,MEX,..,..,-562404,..,..,..,..,-422477,..,..,..,..,-300000,..,..,..
Net migration,SM.POP.NETM,Pakistan,PAK,..,..,-339805,..,..,..,..,-1079167,..,..,..,..,-1166895,..,..,..
Net migration,SM.POP.NETM,United States,USA,..,..,5428756,..,..,..,..,4961716,..,..,..,..,4774029,..,..,..
